date,group,total_frame,bad_frame_index
20260615,group_008,50,0-4
20260615,group_009,50,0
20260615,group_010,49,"28-33,39-48"
20260615,group_011,1162,"758-773,983-989,991-998,1000-1008,1015-1019"
20260615,group_012,1151,104-125
20260615,group_013,1137,"308-312,314-316,978-987"
20260615,group_014,1177,"0,3-8,230-235"
20260615,group_015,1146,"0-4,40-51,56-73,521-538"
20260615,group_016,1155,"0,804-819"
20260615,group_017,1153,"163-175,910-916,918-931"
20260615,group_018,968,"67-73,764-765,775-783,789-792,810-816,821-833"
20260615,group_019,1150,"0-9,156-167"
20260615,group_020,1146,"141-152,785-792"
20260615,group_021,1115,"607-656,666-677"
20260615,group_022,1063,"89-101,168-170,652-656,665-688,731-738"
20260615,group_023,1101,"142-150,909,1017"
20260615,group_024,1148,196-206
20260615,group_025,1002,"0-1,580-1001"
20260615,group_026,1148,"0-13,145-146"
20260615,group_027,1108,"493,495-500,999,1001-1008"
20260615,group_028,1177,0-5
20260615,group_029,1118,"0-7,14-27,236-250,256-263,265-270,333-353,801-802,1095-1097"
20260615,group_030,1120,"798-812,865-883"
20260703,group_011,956,955
20260703,group_014,249,248
20260703,group_031,118,117
20260703,group_035,782,781
20260703,group_040,927,926
20260706,group_015,548,43
20260706,group_025,952,951
20260718,group_011,996,0
20260718,group_042,993,941
20260719,group_038,613,612
20260813,group_011,2500,737
