date,group,sensor,group_frame_count,numeric_outlier_count,frame_index_ranges,max_abs_mean,max_abs_max,worst_frame
20260615,group_008,dpct高位机,50,5,0-4,1307.298095703125,46338.12109375,1781504692_593239305.bin
20260615,group_009,dpct高位机,50,1,0,862.7536010742188,46163.1015625,1781504743_446761056.bin
20260615,group_010,dpct高位机,49,16,"28-33,39-48",1260.56298828125,46340.94921875,1781504798_817790700.bin
20260615,group_011,dpct高位机,1162,45,"758-773,983-989,991-998,1000-1008,1015-1019",1375.2359619140625,46340.94921875,1781505820_580548007.bin
20260615,group_012,dpct高位机,1151,22,104-125,1371.03955078125,46340.94921875,1781505896_322940205.bin
20260615,group_013,dpct高位机,1137,18,"308-312,314-316,978-987",1358.1221923828125,46340.94921875,1781506179_071817335.bin
20260615,group_014,dpct高位机,1177,13,"0,3-8,230-235",1382.8135986328125,46340.94921875,1781506250_709029782.bin
20260615,group_015,dpct高位机,1146,53,"0-4,40-51,56-73,521-538",1487.376220703125,46340.94921875,1781506429_057378784.bin
20260615,group_016,dpct高位机,1155,17,"0,804-819",1336.5877685546875,46340.94921875,1781511603_010700164.bin
20260615,group_017,dpct高位机,1153,34,"163-175,910-916,918-931",1377.5531005859375,46340.94921875,1781511725_950631887.bin
20260615,group_018,dpct高位机,968,42,"67-73,764-765,775-783,789-792,810-816,821-833",1390.0172119140625,46340.94921875,1781511955_318773352.bin
20260615,group_019,dpct高位机,1150,22,"0-9,156-167",1380.05615234375,46340.94921875,1781512062_908356373.bin
20260615,group_020,dpct高位机,1146,20,"141-152,785-792",2344.805908203125,46340.94921875,1781512285_527335365.bin
20260615,group_021,dpct高位机,1115,62,"607-656,666-677",2242.637451171875,46340.94921875,1781512437_956534464.bin
20260615,group_022,dpct高位机,1063,53,"89-101,168-170,652-656,665-688,731-738",1349.184326171875,46340.94921875,1781512603_216003812.bin
20260615,group_023,dpct高位机,1101,11,"142-150,909,1017",1343.3265380859375,46340.94921875,1781512693_452186819.bin
20260615,group_024,dpct高位机,1148,11,196-206,1397.928955078125,46340.94921875,1781512858_103477347.bin
20260615,group_025,dpct高位机,1002,2,0-1,1309.271484375,46338.12109375,1781513004_252518705.bin
20260615,group_026,dpct高位机,1148,16,"0-13,145-146",1339.64208984375,46340.94921875,1781514936_895097275.bin
20260615,group_027,dpct高位机,1108,16,"493,495-500,999,1001-1008",1380.9378662109375,46340.94921875,1781515157_553063744.bin
20260615,group_028,dpct高位机,1177,6,0-5,2140.322265625,46338.12109375,1781515299_681549843.bin
20260615,group_029,dpct高位机,1118,77,"0-7,14-27,236-250,256-263,265-270,333-353,801-802,1095-1097",2336.682373046875,46340.94921875,1781515455_107969721.bin
20260615,group_030,dpct高位机,1120,34,"798-812,865-883",1377.084716796875,46340.94921875,1781515707_486906108.bin
20260703,group_011,dpct高位机,956,1,955,420.0421142578125,45977.484375,1783060532_548326113.bin
20260703,group_014,dpct高位机,249,1,248,475.6175537109375,46163.08203125,1783061447_749253157.bin
20260703,group_031,dpct高位机,118,1,117,527.8715209960938,46295.7109375,1783068103_660829763.bin
20260703,group_035,dpct高位机,782,1,781,451.5230712890625,45990.2265625,1783072073_683531856.bin
20260703,group_040,dpct高位机,927,1,926,514.8593139648438,45789.8671875,1783073559_504997754.bin
20260706,group_015,dpct高位机,548,1,43,532.4419555664062,46329.63671875,1783322033_155888176.bin
20260706,group_025,dpct高位机,952,1,951,696.5914916992188,46338.12109375,1783325107_763569453.bin
20260718,group_011,dpct高位机,996,1,0,676.5044555664062,46292.8828125,1784354775_306075855.bin
20260718,group_042,dpct高位机,993,1,941,1047.5928955078125,46290.05078125,1784366000_316833402.bin
20260719,group_038,dpct高位机,613,1,612,778.198486328125,46340.94921875,1784447414_980012583.bin
